"state","densityMi","population","TotalArea"
"Alabama",101.55066,5143033,52420
"Alaska",1.28546,733536,665384
"Arizona",65.99824,7497004,113990
"Arkansas",59.36504,3089060,53179
"California",249.64706,38889770,163696
"Colorado",57.06356,5914181,104094
"Connecticut",748.791,3625646,5543
"Delaware",535.82401,1044321,2489
"District of Columbia",11262.21311,686995,
"Florida",428.45559,22975931,65758
"Georgia",193.78756,11145304,59425
"Hawaii",222.77394,1430877,10932
"Idaho",24.08499,1990456,83569
"Illinois",225.45188,12516863,57914
"Indiana",192.37771,6892124,36420
"Iowa",57.54543,3214315,56273
"Kansas",36.01287,2944376,82278
"Kentucky",114.99633,4540745,40408
"Louisiana",105.53363,4559475,52378
"Maine",45.45946,1402106,35380
"Maryland",638.35634,6196525,12406
"Massachusetts",900.00744,7020058,10554
"Michigan",177.59849,10041241,96714
"Minnesota",72.35649,5761530,86936
"Mississippi",62.66547,2940452,48432
"Missouri",90.41262,6215144,69707
"Montana",7.85144,1142746,147040
"Nebraska",25.88642,1988698,77348
"Nevada",29.24851,3210931,110572
"New Hampshire",156.94237,1405105,9349
"New Jersey",1267.45513,9320865,8723
"New Mexico",17.43859,2115266,121590
"New York",413.13143,19469232,54555
"North Carolina",225.73979,10975017,53819
"North Dakota",11.43375,788940,70698
"Ohio",289.08184,11812173,44826
"Oklahoma",59.60168,4088377,69899
"Oregon",44.04027,4227337,98379
"Pennsylvania",289.45925,12951275,46054
"Rhode Island",1061.97485,1098082,1545
"South Carolina",181.7689,5464155,32020
"South Dakota",12.25108,928767,77116
"Tennessee",174.706,7204002,42144
"Texas",118.57948,30976754,268596
"Utah",42.03763,3454232,84897
"Vermont",70.28513,647818,9616
"Virginia",221.63325,8752297,42775
"Washington",117.9921,7841283,71298
"West Virginia",73.47146,1766107,24230
"Wisconsin",109.51968,5931367,65496
"Wyoming",6.04045,586485,97813
"United States",,,3796677