;State;Density;;
;United States;93,97;;
;District of Columbia;10.984,43;;
;New Jersey;1.260,15;;
;Rhode Island;1.059,58;;
;Massachusetts;895,36;;
;Connecticut;744,96;;
;Maryland;635,25;;
;Delaware;514,82;;
;New York;420,91;;
;Florida;406,34;;
;Pennsylvania;289,77;;
;Ohio;288,32;;
;California;251,90;;
;Illinois;228,24;;
;Hawaii;224,26;;
;Virginia;218,83;;
;North Carolina;217,02;;
;Indiana;189,99;;
;Georgia;187,82;;
;Michigan;177,80;;
;South Carolina;172,62;;
;Tennessee;169,16;;
;New Hampshire;155,16;;
;Washington;116,46;;
;Kentucky;114,18;;
;Texas;113,04;;
;Wisconsin;108,87;;
;Louisiana;107,04;;
;Alabama;99,52;;
;Missouri;89,76;;
;West Virginia;74,17;;
;Minnesota;71,69;;
;Vermont;70,04;;
;Arizona;64,05;;
;Mississippi;62,87;;
;Arkansas;58,16;;
;Oklahoma;58,11;;
;Iowa;57,16;;
;Colorado;56,08;;
;Maine;44,49;;
;Oregon;44,24;;
;Utah;40,61;;
;Kansas;35,89;;
;Nevada;28,64;;
;Nebraska;25,56;;
;Idaho;23;;
;New Mexico;17,44;;
;South Dakota;11,81;;
;North Dakota;11,23;;
;Montana;7,59;;
;Wyoming;5,96;;
;Alaska;1,28;;